,Year,Month,State,County,Rate
285552,1990,January,California,Kern County,11.2
285553,1990,January,California,Napa County,4.0
285554,1990,January,California,Mendocino County,10.3
285555,1990,January,California,Plumas County,16.2
288319,1990,June,California,Humboldt County,6.7
288320,1990,June,California,Sonoma County,3.7
288321,1990,June,California,San Luis Obispo County,4.4
288322,1990,June,California,Glenn County,13.4
288323,1990,June,California,Nevada County,4.4
288324,1990,June,California,Yolo County,5.8
288325,1990,June,California,Sacramento County,4.3
288326,1990,June,California,Fresno County,9.7
288327,1990,June,California,Calaveras County,6.4
288328,1990,June,California,Marin County,2.5
288329,1990,June,California,Lassen County,7.1
288330,1990,June,California,Contra Costa County,3.9
288331,1990,June,California,Yuba County,10.0
288332,1990,June,California,Del Norte County,9.6
288333,1990,June,California,San Mateo County,2.6
288334,1990,June,California,Mono County,7.5
288335,1990,June,California,Merced County,12.1
288336,1990,June,California,Santa Cruz County,5.0
288337,1990,June,California,Ventura County,4.8
288338,1990,June,California,Placer County,4.0
288339,1990,June,California,Inyo County,6.5
288340,1990,June,California,Stanislaus County,12.4
288341,1990,June,California,Orange County,3.4
288342,1990,June,California,Trinity County,8.3
288343,1990,June,California,Alpine County,15.9
288344,1990,June,California,Madera County,11.3
288345,1990,June,California,Imperial County,22.5
288346,1990,June,California,Kings County,10.0
288347,1990,June,California,Mariposa County,3.6
288348,1990,June,California,San Benito County,12.4
288349,1990,June,California,Lake County,8.2
288350,1990,June,California,El Dorado County,3.8
288351,1990,June,California,Solano County,4.5
288352,1990,June,California,Los Angeles County,5.3
288353,1990,June,California,San Diego County,4.5
288354,1990,June,California,Alameda County,4.0
288355,1990,June,California,Colusa County,9.8
288356,1990,June,California,Sierra County,7.1
288357,1990,June,California,Tehama County,9.3
288358,1990,June,California,Modoc County,7.1
288359,1990,June,California,Amador County,4.5
288360,1990,June,California,San Joaquin County,9.8
288361,1990,June,California,Siskiyou County,9.6
288362,1990,June,California,Riverside County,6.1
288363,1990,June,California,San Francisco County,3.6
288364,1990,June,California,San Bernardino County,5.5
288365,1990,June,California,Santa Clara County,3.9
288366,1990,June,California,Tulare County,10.1
288367,1990,June,California,Shasta County,7.6
288368,1990,June,California,Santa Barbara County,4.3
288369,1990,June,California,Monterey County,7.0
288370,1990,June,California,Tuolumne County,5.5
288371,1990,June,California,Sutter County,12.1
288372,1990,June,California,Butte County,8.7
288373,1990,June,California,Kern County,9.7
288374,1990,June,California,Napa County,3.5
288375,1990,June,California,Mendocino County,5.9
288376,1990,June,California,Plumas County,6.0
277035,1990,March,California,Humboldt County,8.9
277036,1990,March,California,Sonoma County,3.7
277037,1990,March,California,San Luis Obispo County,3.7
277038,1990,March,California,Glenn County,13.8
277039,1990,March,California,Nevada County,5.3
277040,1990,March,California,Yolo County,7.6
277041,1990,March,California,Sacramento County,4.4
277042,1990,March,California,Fresno County,14.3
277043,1990,March,California,Calaveras County,7.9
277044,1990,March,California,Marin County,2.2
277045,1990,March,California,Lassen County,13.6
277046,1990,March,California,Contra Costa County,3.5
277047,1990,March,California,Yuba County,13.2
277048,1990,March,California,Del Norte County,15.1
277049,1990,March,California,San Mateo County,2.2
277050,1990,March,California,Mono County,2.3
277051,1990,March,California,Merced County,14.4
277052,1990,March,California,Santa Cruz County,9.1
277053,1990,March,California,Ventura County,4.1
277054,1990,March,California,Placer County,4.1
277055,1990,March,California,Inyo County,6.2
277056,1990,March,California,Stanislaus County,12.8
277057,1990,March,California,Orange County,2.7
277058,1990,March,California,Trinity County,15.8
277059,1990,March,California,Alpine County,3.4
277060,1990,March,California,Madera County,17.1
277061,1990,March,California,Imperial County,18.0
277062,1990,March,California,Kings County,13.6
277063,1990,March,California,Mariposa County,7.3
277064,1990,March,California,San Benito County,14.5
277065,1990,March,California,Lake County,9.9
277066,1990,March,California,El Dorado County,4.7
277067,1990,March,California,Solano County,4.6
277068,1990,March,California,Los Angeles County,5.4
277069,1990,March,California,San Diego County,3.7
277070,1990,March,California,Alameda County,3.6
277071,1990,March,California,Colusa County,20.0
277072,1990,March,California,Sierra County,18.2
277073,1990,March,California,Tehama County,9.7
277074,1990,March,California,Modoc County,11.2
277075,1990,March,California,Amador County,6.3
277076,1990,March,California,San Joaquin County,10.1
277077,1990,March,California,Siskiyou County,14.3
277078,1990,March,California,Riverside County,5.3
277079,1990,March,California,San Francisco County,3.2
277080,1990,March,California,San Bernardino County,4.5
277081,1990,March,California,Santa Clara County,3.5
277082,1990,March,California,Tulare County,14.9
277083,1990,March,California,Shasta County,10.0
277084,1990,March,California,Santa Barbara County,5.2
277085,1990,March,California,Monterey County,12.0
277086,1990,March,California,Tuolumne County,8.2
277087,1990,March,California,Sutter County,17.6
277088,1990,March,California,Butte County,9.2
277089,1990,March,California,Kern County,12.7
277090,1990,March,California,Napa County,3.8
277091,1990,March,California,Mendocino County,8.7
277092,1990,March,California,Plumas County,16.2
282677,1990,May,California,Humboldt County,6.9
282678,1990,May,California,Sonoma County,3.6
282679,1990,May,California,San Luis Obispo County,4.0
282680,1990,May,California,Glenn County,11.4
282681,1990,May,California,Nevada County,4.7
282682,1990,May,California,Yolo County,5.5
282683,1990,May,California,Sacramento County,4.1
282684,1990,May,California,Fresno County,10.4
282685,1990,May,California,Calaveras County,6.4
282686,1990,May,California,Marin County,2.4
282687,1990,May,California,Lassen County,8.2
282688,1990,May,California,Contra Costa County,3.6
282689,1990,May,California,Yuba County,10.2
282690,1990,May,California,Del Norte County,10.7
282691,1990,May,California,San Mateo County,2.5
282692,1990,May,California,Mono County,8.3
282693,1990,May,California,Merced County,12.4
282694,1990,May,California,Santa Cruz County,5.8
282695,1990,May,California,Ventura County,4.2
282696,1990,May,California,Placer County,4.3
282697,1990,May,California,Inyo County,6.4
282698,1990,May,California,Stanislaus County,12.5
282699,1990,May,California,Orange County,3.1
282700,1990,May,California,Trinity County,9.4
282701,1990,May,California,Alpine County,17.2
282702,1990,May,California,Madera County,12.4
282703,1990,May,California,Imperial County,23.6
282704,1990,May,California,Kings County,9.7
282705,1990,May,California,Mariposa County,4.1
282706,1990,May,California,San Benito County,12.5
282707,1990,May,California,Lake County,8.8
282708,1990,May,California,El Dorado County,4.1
282709,1990,May,California,Solano County,4.2
282710,1990,May,California,Los Angeles County,5.5
282711,1990,May,California,San Diego County,4.1
282712,1990,May,California,Alameda County,3.8
282713,1990,May,California,Colusa County,10.0
282714,1990,May,California,Sierra County,8.3
282715,1990,May,California,Tehama County,9.2
282716,1990,May,California,Modoc County,7.6
282717,1990,May,California,Amador County,4.4
282718,1990,May,California,San Joaquin County,9.0
282719,1990,May,California,Siskiyou County,9.3
282720,1990,May,California,Riverside County,6.1
282721,1990,May,California,San Francisco County,3.5
282722,1990,May,California,San Bernardino County,5.0
282723,1990,May,California,Santa Clara County,3.7
282724,1990,May,California,Tulare County,10.1
282725,1990,May,California,Shasta County,7.6
282726,1990,May,California,Santa Barbara County,4.0
282727,1990,May,California,Monterey County,6.9
282728,1990,May,California,Tuolumne County,6.4
282729,1990,May,California,Sutter County,13.1
282730,1990,May,California,Butte County,8.0
